RPM,DOC_um,Fz_Mean,Fz_Std,Fz_Peak2Peak,Peak_FFT_Amp,Label
114.0,1000.0,0.8914857620606198,1.0704744993854882,5.837362660467625,425.31894902147155,1
114.0,1000.0,0.9741437241667881,1.1019452213664807,5.837362660467625,413.2388199746748,1
114.0,1000.0,0.8952861263227533,1.047976365351819,4.86446894556284,405.84377498110644,1
114.0,1000.0,0.9389903354473063,1.0273929719270565,4.86446894556284,410.3573525406395,1
114.0,1000.0,0.961792530803359,1.0082364805122255,4.86446894556284,379.14774039966244,1
114.0,1000.0,0.984594730869867,1.0498644694555466,4.86446894556284,459.40640449291885,1
114.0,1000.0,0.732820479926886,1.3952465655303536,9.728938262164592,476.3370363994792,1
114.0,1000.0,0.30717945682845316,2.324817833719938,17.512088352441786,654.8058936110544,1
114.0,1000.0,0.08580814498418476,1.212845332131067,6.810257117450237,392.57681932123216,1
114.0,1000.0,0.6349610480901902,1.214952753468384,7.783150832355021,376.1248905964668,1
114.0,1000.0,0.5104990627951338,1.3714238099831508,8.756044547259807,418.7284154486009,1
114.0,1000.0,0.5352014368399978,1.3260715222021697,6.810257117450237,422.4284531929961,1
114.0,1000.0,0.20076921436993872,1.2175292400788005,6.810257117450237,395.15031561422444,1
114.0,1000.0,0.21882095720648065,1.2652865226043621,7.783150832355022,425.0328186340207,1
114.0,1000.0,0.6539628817205084,1.191298093170112,5.837362660467625,419.799180140839,1
114.0,1000.0,0.4515933835777105,1.1697903204212923,5.837362660467625,382.5693601760336,1
114.0,1000.0,0.4658447592533776,1.230836153930953,7.783150832355021,434.66133955188377,1
114.0,1000.0,0.06015567833383102,1.1250780638692128,5.837362660467625,409.37224023331123,1
114.0,1000.0,0.20741985789791217,1.1868449692400511,5.837363031506538,421.81822546395847,1
114.0,1000.0,0.37178569965035424,1.1798740618043602,5.837362660467625,340.80758735236833,1
114.0,1000.0,0.3432829504730762,1.2034052232932144,6.810257117450237,431.26418516570754,1
114.0,1000.0,0.3176304816486663,1.2361052344996228,8.756044547259807,397.2353086438037,1
114.0,1000.0,0.06775640432169895,1.2409195743335335,7.783150832355022,370.75506709522193,1
114.0,1000.0,0.38128661048685897,1.1949443534028592,6.810257117450237,366.0332730669414,1
114.0,1000.0,0.4952975945139769,1.2100835773376666,7.783150832355021,394.1219953344719,1
114.0,1000.0,0.4705952124975738,1.1442096228866623,6.810257117450237,413.0063298034372,1
114.0,1000.0,0.2938781915130676,1.2482217782376912,6.810257117450237,453.9738297689902,1
114.0,1000.0,0.016451461237738853,1.2515237382996824,6.810257117450237,437.6321984209474,1
